"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Packet Broker","0","ADDITIONAL_FILTERS","2","0","Delete entity","0"
"0","Packet Broker","0","MIRRORING","3","0","Create entity","0"
"0","Packet Broker","0","ANALYSIS_PORTS","3","0","Update entity","0"
"0","Packet Broker","0","EGRESS_GROUPS","3","0","Update entity","0"
"0","Packet Broker","0","PORTS","4","0","Get entities","0"
"0","Packet Broker","0","MIRROR_FILTER","3","0","Delete entity","0"
"0","Packet Broker","0","BALANCING","4","0","Delete entity","0"
"0","Packet Broker","0","CUSTOM_CONFIG","2","0","Get entity","0"
"0","Packet Broker","0","ADDITIONAL_FILTERS","3","0","Create entity","0"
"0","Packet Broker","0","BALANCING","4","0","Update entity","0"
"0","Packet Broker","0","NODES","2","0","Delete entity","0"
"0","Packet Broker","0","PSF_DMAC","2","0","Create entity","0"
"0","Packet Broker","0","FILTERS","2","2","Delete entity","0"
"0","Packet Broker","0","INGRESS_GROUPS","3","0","Delete entity","0"
"0","Packet Broker","0","SELECTIONS","3","0","Delete entity","0"
"0","Packet Broker","0","CUSTOM_CONFIG","4","0","Delete entity","0"
"0","Packet Broker","0","MIRRORING","3","0","Delete entity","0"
"0","Packet Broker","0","NODES","2","0","Get entities","0"
"0","Packet Broker","0","CUSTOM_CONFIG","2","0","Update entity","0"
"0","Packet Broker","0","EGRESS_GROUPS","3","0","Create entity","0"
"0","Packet Broker","0","PSF_FORMAT","3","0","Create entity","0"
"0","Packet Broker","0","PORTS","3","0","Create entity","0"
"0","Packet Broker","0","EGRESS_GROUPS","3","0","Delete entity","0"
"0","Packet Broker","0","PSF_MIRROR_FILTER","2","0","Get entities","0"
"0","Packet Broker","0","BALANCING","2","0","Get entities","0"
"0","Packet Broker","0","MIRROR_FILTER","2","0","Get entities","0"
"0","Packet Broker","0","PORTS","3","0","Update entity","0"
"0","Packet Broker","0","PSF_FORMAT","3","0","Update entity","0"
"0","Packet Broker","0","LOOPBACK_PORTS","2","0","Get entities","0"
"0","Packet Broker","0","MIRRORING","3","0","Update entity","0"
"0","Packet Broker","0","NODES","3","0","Update entity","0"
"0","Packet Broker","0","MIRROR_FILTER","2","0","Create entity","0"
"0","Packet Broker","0","INGRESS_GROUPS","2","0","Get entities","0"
"0","Packet Broker","0","FILTERS","2","0","Create entity","0"
"0","Packet Broker","0","SELECTIONS","2","0","Get entities","0"
"0","Packet Broker","0","ANALYSIS_PORTS","2","0","Get entities","0"
"0","Packet Broker","0","AUTHENTICATION","1","0","Create entity","0"
"0","Packet Broker","0","INGRESS_GROUPS","3","0","Update entity","0"
"0","Packet Broker","0","ANALYSIS_PORTS","3","0","Delete entity","0"
"0","Packet Broker","0","PSF_DMAC","2","0","Get entity","0"
"0","Packet Broker","0","INGRESS_GROUPS","3","0","Create entity","0"
"0","Packet Broker","0","LOOPBACK_PORTS","2","0","Create entity","0"
"0","Packet Broker","0","NODES","2","0","Create entity","0"
"0","Packet Broker","0","MIRRORING","2","0","Get entities","0"
"0","Packet Broker","0","PSF_FORMAT","2","0","Get entities","0"
"0","Packet Broker","0","CUSTOM_CONFIG","3","0","Create entity","0"
"0","Packet Broker","0","BALANCING","5","0","Create entity","0"
"0","Packet Broker","0","PSF_FORMAT","2","0","Delete entity","0"
"0","Packet Broker","0","FILTERS","2","0","Get entities","0"
"0","Packet Broker","0","SELECTIONS","3","0","Create entity","0"
"0","Packet Broker","0","ANALYSIS_PORTS","3","0","Create entity","0"
"0","Packet Broker","0","LOOPBACK_PORTS","2","0","Delete entity","0"
"0","Packet Broker","0","PORTS","3","0","Delete entity","0"
"0","Packet Broker","0","EGRESS_GROUPS","2","0","Get entities","0"
"0","Packet Broker","0","ADDITIONAL_FILTERS","2","0","Update entity","0"
