"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","[403]FORBIDDEN - Get nodes list by unauthenticated user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","NODES","",""
"","39","[403]FORBIDDEN - Return default config by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","CUSTOM_CONFIG","",""
"","129","[200]OK - Update psf format","Packet Broker","2026-02-09","passed","2026-02-09","Update entity","PSF_FORMAT","",""
"","38","[200]OK - Create additional filters","Packet Broker","2026-02-09","passed","2026-02-09","Create entity","ADDITIONAL_FILTERS","",""
"","1003","[200]OK - Apply nodes config","Packet Broker","2026-02-09","passed","2026-02-09","Update entity","NODES","",""
"","36","[200]OK - Delete balancing group","Packet Broker","2026-02-09","passed","2026-02-09","Delete entity","BALANCING","",""
"","21","[412]PRECONDITION_FAILED - Update balancing group without balanceType","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","BALANCING","",""
"","45","[403]FORBIDDEN - Create psf format by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","PSF_FORMAT","",""
"","35","[403]FORBIDDEN - Delete loopback port speed limits by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","LOOPBACK_PORTS","",""
"","124","[200]OK - Create loopback port speed limits","Packet Broker","2026-02-09","passed","2026-02-09","Create entity","LOOPBACK_PORTS","",""
"","19","[412]PRECONDITION_FAILED - Create balancing without logicId","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","BALANCING","",""
"","23","[412]PRECONDITION_FAILED - Delete nonexistent ingress group","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","INGRESS_GROUPS","",""
"","84","[200]OK - Delete selection group","Packet Broker","2026-02-09","passed","2026-02-09","Delete entity","SELECTIONS","",""
"","41","[200]OK - Update ingress group","Packet Broker","2026-02-09","passed","2026-02-09","Update entity","INGRESS_GROUPS","",""
"","26","[200]OK - Saving actual custom config","Packet Broker","2026-02-09","passed","2026-02-09","Update entity","CUSTOM_CONFIG","",""
"","26","[403]FORBIDDEN - Delete additional filters without access-token","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","ADDITIONAL_FILTERS","",""
"","39","[200]OK - Create ingress group","Packet Broker","2026-02-09","passed","2026-02-09","Create entity","INGRESS_GROUPS","",""
"","39","[403]FORBIDDEN - Restore saved custom config by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","CUSTOM_CONFIG","",""
"","20","[403]FORBIDDEN - Delete ingress group by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","INGRESS_GROUPS","",""
"","63","[200]OK - Update configured ports","Packet Broker","2026-02-09","passed","2026-02-09","Update entity","PORTS","",""
"","40","[403]FORBIDDEN - Create mirroring group by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","MIRRORING","",""
"","44","[200]OK - Delete additional filters","Packet Broker","2026-02-09","passed","2026-02-09","Delete entity","ADDITIONAL_FILTERS","",""
"","30","[403]FORBIDDEN - Update port status by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","PORT_STATUS","",""
"","42","[200]OK - Get nodes list","Packet Broker","2026-02-09","passed","2026-02-09","Get entities","NODES","",""
"","43","[403]FORBIDDEN - Update additional filters without access-token","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","ADDITIONAL_FILTERS","",""
"","39","[200]OK - Get psf mirror filter","Packet Broker","2026-02-09","passed","2026-02-09","Get entities","PSF_MIRROR_FILTER","",""
"","45","[403]FORBIDDEN - Create analysis port by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","ANALYSIS_PORTS","",""
"","47","[403]FORBIDDEN - Log in with invalid username","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","AUTHENTICATION","",""
"","39","[200]OK - Create psf dmac","Packet Broker","2026-02-09","passed","2026-02-09","Create entity","PSF_DMAC","",""
"","23","[200]OK - Get ingress groups list","Packet Broker","2026-02-09","passed","2026-02-09","Get entities","INGRESS_GROUPS","",""
"","33","[403]FORBIDDEN - Update balancing without access-token","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","BALANCING","",""
"","911","[200]OK - Upload my custom config to the switch","Packet Broker","2026-02-09","passed","2026-02-09","Create entity","CUSTOM_CONFIG","",""
"","36","[403]FORBIDDEN - Create configured ports by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","PORTS","",""
"","19","[412]PRECONDITION_FAILED - Delete selection group with incorrect body","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","SELECTIONS","",""
"","20","[412]PRECONDITION_FAILED - Delete nonexistent analysis port","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","ANALYSIS_PORTS","",""
"","34","[403]FORBIDDEN - Update ports by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","PORTS","",""
"","97","[200]OK - Create psf format","Packet Broker","2026-02-09","passed","2026-02-09","Create entity","PSF_FORMAT","",""
"","37","[403]FORBIDDEN - Get ingress groups list by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","INGRESS_GROUPS","",""
"","60","[200]OK - Create selection group","Packet Broker","2026-02-09","passed","2026-02-09","Create entity","SELECTIONS","",""
"","29","[200]OK - Get filters list","Packet Broker","2026-02-09","passed","2026-02-09","Get entities","FILTERS","",""
"","90","[200]OK - Get switch info","Packet Broker","2026-02-09","passed","2026-02-09","Get entity","SWITCH_INFO","",""
"","26","[200]OK - Get selections list","Packet Broker","2026-02-09","passed","2026-02-09","Get entities","SELECTIONS","",""
